id,x,y
29,197,446
29,204,451
29,202,458
29,203,460
29,204,464
29,208,470
29,213,472
29,217,479
29,208,477
29,200,480
29,189,482
29,182,475
29,174,470
29,167,463
29,161,456
29,157,450
29,152,448
29,149,445
30,210,504
30,218,505
30,225,499
30,232,494
30,237,489
30,244,485
30,249,482
30,254,483
30,258,492
30,264,501
30,264,505
30,260,510
30,209,510
31,277,475
31,267,470
31,263,467
31,258,464
31,253,458
31,245,444
31,244,436
31,242,427
31,248,425
31,254,425
31,262,424
31,267,425
31,271,435
31,276,445
31,281,455
31,283,462
31,284,468
31,284,477
32,218,384
32,224,380
32,229,373
32,231,365
32,227,360
32,222,353
32,215,351
32,206,355
32,196,360
32,190,361
32,184,365
32,181,369
32,183,372
32,188,377
32,198,383
32,205,389
32,210,387
33,266,411
33,269,404
33,269,396
33,267,388
33,263,380
33,264,375
33,261,372
33,257,374
33,252,379
33,249,387
33,247,389
33,247,394
33,248,401
33,251,408
33,256,411
33,259,414
34,281,436
34,287,431
34,296,428
34,306,426
34,313,428
34,317,436
34,317,442
34,313,450
34,311,454
34,304,456
34,294,453
34,289,449
34,284,446
34,283,443
35,276,411
35,279,407
35,285,401
35,289,395
35,291,389
35,290,383
35,282,373
35,277,369
35,271,363
35,267,361
35,265,360
35,263,364
35,264,371
35,267,379
35,267,384
35,269,389
35,269,392
35,269,400
35,269,404
35,269,411
35,268,414
35,271,417
35,274,418
36,288,353
36,288,344
36,291,338
36,296,328
36,296,323
36,290,319
36,279,319
36,270,316
36,264,312
36,259,311
36,255,308
36,252,308
36,248,317
36,253,328
36,262,339
36,267,345
36,274,348
36,278,352
36,281,356
37,264,240
37,263,229
37,257,220
37,252,213
37,246,205
37,237,201
37,230,200
37,224,201
37,220,210
37,215,224
37,218,234
37,218,244
37,223,251
37,235,259
37,247,263
37,254,266
37,259,264
37,261,261
37,264,251
38,247,140
38,258,136
38,263,127
38,267,120
38,277,127
38,286,134
38,290,143
38,290,151
38,289,159
38,288,164
38,280,171
38,274,173
38,266,173
38,258,166
38,252,161
38,248,159
38,242,156
38,235,156
38,235,151
38,238,148
38,242,144
39,225,63
39,220,61
39,213,52
39,208,44
39,205,34
39,203,24
39,195,14
39,193,9
39,193,2
39,207,2
39,211,10
39,214,19
39,215,26
39,215,34
39,217,43
39,218,48
39,221,53
40,228,2
40,228,9
40,242,19
40,254,16
40,257,13
40,260,4
40,260,2
40,233,0
41,257,44
41,259,54
41,258,66
41,255,72
41,251,77
41,247,83
41,251,90
41,257,92
41,268,85
41,273,78
41,274,66
41,278,56
41,278,48
41,274,43
41,267,44
42,292,60
42,286,69
42,284,80
42,285,89
42,292,91
42,297,90
42,301,84
42,306,75
42,307,68
42,304,63
42,301,61
43,315,69
43,312,71
43,303,80
43,301,88
43,303,97
43,311,102
43,316,105
43,325,106
43,330,104
43,338,102
43,346,100
43,352,100
43,344,91
43,339,85
43,333,80
43,328,76
43,322,73
44,315,4
44,313,14
44,311,24
44,305,31
44,299,34
44,291,32
44,284,29
44,277,23
44,273,17
44,272,12
44,271,6
44,274,2
45,323,4
45,317,15
45,314,23
45,312,29
45,307,34
45,310,38
45,321,36
45,330,34
45,339,29
45,348,28
45,355,26
45,357,23
45,354,16
45,350,9
45,345,5
45,341,2
46,351,3
46,353,9
46,355,14
46,357,19
46,362,21
46,367,22
46,372,19
46,377,11
46,377,5
46,376,0
47,407,9
47,405,17
47,401,29
47,398,35
47,391,40
47,385,43
47,384,48
47,391,50
47,397,44
47,406,39
47,411,36
47,418,33
47,426,31
47,434,27
47,436,22
47,430,15
47,426,9
47,423,5
47,416,4
48,490,5
48,486,8
48,476,16
48,469,23
48,470,26
48,480,27
48,487,31
48,496,32
48,504,30
48,511,29
48,511,2
49,358,61
49,367,67
49,369,81
49,368,86
49,362,89
49,357,88
49,349,83
49,344,78
49,342,70
49,342,64
49,350,61
50,415,75
50,428,85
50,435,90
50,444,92
50,449,83
50,453,76
50,459,71
50,463,67
50,458,59
50,452,55
50,440,52
50,433,51
50,423,53
50,414,59
50,408,66
50,409,71
51,502,82
51,499,88
